ticker,motivo
AESB3,empresa_extinta
ALSC3,empresa_extinta
ALSO3,empresa_extinta
ARTR3,empresa_extinta
ARZZ3,empresa_extinta
AXIA6,ticker_nao_existe_no_yahoo
AZUL4,sem_fonte_confiavel
BBTG11,empresa_extinta
BIDI11,empresa_extinta
BIDI4,empresa_extinta
BKBR3,empresa_extinta
BMGB11,empresa_extinta
BPAN4,sem_fonte_confiavel
BRDT3,empresa_extinta
BRFS3,sem_fonte_confiavel
BRML3,empresa_extinta
BTOW3,empresa_extinta
BVMF3,empresa_extinta
CARD3,empresa_extinta
CCRO3,sem_fonte_confiavel
CESP6,empresa_extinta
CIEL3,empresa_extinta
CLSA3,sem_fonte_confiavel
CNTO3,empresa_extinta
CPLE5,reclassificacao_societaria
CPLE6,sem_fonte_confiavel
CPRE3,empresa_extinta
CRFB3,sem_fonte_confiavel
CTIP3,empresa_extinta
DMMO3,empresa_extinta
DTEX3,empresa_extinta
ELET6,sem_fonte_confiavel
ELPL3,empresa_extinta
ENAT3,empresa_extinta
ENBR3,empresa_extinta
ESTC3,empresa_extinta
FJTA4,empresa_extinta
GNDI3,empresa_extinta
GOLL4,empresa_extinta
GUAR3,ticker_nao_existe_no_yahoo
HGTX3,empresa_extinta
IGTA3,empresa_extinta
JBSS3,sucessor_bdr
KROT3,empresa_extinta
LAME3,empresa_extinta
LAME4,empresa_extinta
LCAM3,empresa_extinta
LINX3,empresa_extinta
LLIS3,empresa_extinta
MAGG3,empresa_extinta
MEGA3,empresa_extinta
MOSI3,empresa_extinta
MPLU3,empresa_extinta
MRFG3,sem_fonte_confiavel
NGRD3,empresa_extinta
NEOE3,ticker_nao_existe_no_yahoo
NTCO3,sucessor_com_hiato
ODPV3,sem_fonte_confiavel
OMGE3,empresa_extinta
PARC3,empresa_extinta
PARD3,empresa_extinta
PCAR4,empresa_extinta
PETZ3,ticker_nao_existe_no_yahoo
PORT3,sem_fonte_confiavel
PRBC4,empresa_extinta
QGEP3,empresa_extinta
RRRP3,empresa_extinta
RUMO3,empresa_extinta
SEDU3,empresa_extinta
SMLE3,empresa_extinta
SMLS3,empresa_extinta
SOMA3,empresa_extinta
SQIA3,empresa_extinta
SRNA3,sem_fonte_confiavel
STBP3,sem_fonte_confiavel
SULA11,empresa_extinta
SUZB5,empresa_extinta
TBLE3,empresa_extinta
TIET11,empresa_extinta
TIMP3,empresa_extinta
TRPL4,empresa_extinta
VIIA3,empresa_extinta
VIVT4,empresa_extinta
VVAR3,empresa_extinta
WIZS3,empresa_extinta
