empresa_A,empresa_B,tipo_de_elo,forca,direcao
KROT3,ESTC3,concorrente,0.8,1
BTOW3,MGLU3,concorrente,0.8,1
LAME4,BTOW3,holding_subsidiaria,0.9,1
VVAR3,MGLU3,concorrente,0.8,1
BTOW3,VVAR3,concorrente,0.7,1
HGTX3,LREN3,concorrente,0.7,1
BBDC4,CIEL3,holding_subsidiaria,0.7,1
BBAS3,CIEL3,holding_subsidiaria,0.7,1
ITUB4,BBAS3,concorrente,0.8,1
SULA11,QUAL3,cliente,0.6,1
GOLL4,AZUL4,concorrente,0.8,1
GOLL4,CVCB3,cliente,0.5,1
VIVT4,TIMP3,concorrente,0.8,1
VIVT4,OIBR4,concorrente,0.6,1
BRML3,MULT3,concorrente,0.7,1
BRML3,IGTA3,concorrente,0.6,1
LREN3,BRML3,imobiliario_logistica,0.6,1
LREN3,IGTA3,imobiliario_logistica,0.6,1
ELET3,CESP6,concorrente,0.6,1
ELET3,ENBR3,concorrente,0.6,1
ELET3,TIET11,concorrente,0.5,1
ELET3,TRPL4,concorrente,0.5,1
FIBR3,KLBN11,concorrente,0.7,1
FIBR3,SUZB5,concorrente,0.7,1
RENT3,LCAM3,concorrente,0.8,1
CYRE3,GFSA3,concorrente,0.6,1
GNDI3,HAPV3,concorrente,0.8,1
LINX3,TOTS3,concorrente,0.8,1
