empresa_A,empresa_B,tipo_de_elo,forca,direcao
VALE3,USIM5,cliente,0.7,1
VALE3,CSNA3,concorrente,0.6,1
VALE3,BRAP4,holding_subsidiaria,0.9,1
PETR4,VBBR3,cliente,0.8,1
PETR4,UGPA3,cliente,0.7,1
PETR4,PRIO3,concorrente,0.6,1
PETR4,BRAV3,concorrente,0.5,1
WEGE3,AERI3,fornecedor,0.9,1
WEGE3,ROMI3,cliente,0.5,1
LREN3,MULT3,imobiliario_logistica,0.6,1
LREN3,IGTI11,imobiliario_logistica,0.6,1
LREN3,ALOS3,imobiliario_logistica,0.6,1
LREN3,CEAB3,concorrente,0.7,1
LREN3,GUAR3,concorrente,0.7,1
MGLU3,BHIA3,concorrente,0.8,1
MGLU3,LOGG3,imobiliario_logistica,0.6,1
SUZB3,KLBN11,concorrente,0.7,1
SUZB3,AMBP3,fornecedor,0.5,1
JBSS3,MRFG3,concorrente,0.7,1
JBSS3,BEEF3,concorrente,0.6,1
JBSS3,BRFS3,substituto,0.7,-1
ITUB4,BBDC4,concorrente,0.8,1
ITUB4,ITSA4,holding_subsidiaria,0.9,1
B3SA3,BPAC11,cliente,0.5,1
RENT3,MOVI3,concorrente,0.8,1
RADL3,PGMN3,concorrente,0.7,1
CYRE3,EZTC3,concorrente,0.6,1
ELET3,EGIE3,concorrente,0.6,1
VIVT3,TIMS3,concorrente,0.8,1
VIVT3,FIQE3,concorrente,0.4,1
