Ticker,Setor,Subsetor
AALR3,Saúde,Hospitais e Diagnostico
ABCB4,Financeiro,Bancos
ABEV3,Consumo Não Cíclico,Bebidas
AERI3,Bens Industriais,Maquinas e Equipamentos
AESB3,Utilidade Pública,Energia - Geracao e Distribuicao
ALOS3,Financeiro,Shoppings e Imoveis
ALPA4,Consumo Cíclico,Varejo de Vestuario
ALSC3,Financeiro,Shoppings e Imoveis
ALSO3,Financeiro,Shoppings e Imoveis
ALUP11,Utilidade Pública,Energia - Transmissao
AMAR3,Consumo Cíclico,Varejo de Vestuario
AMBP3,Bens Industriais,Saneamento e Ambiental
AMER3,Consumo Cíclico,Varejo Eletro e Ecommerce
ANIM3,Consumo Cíclico,Educacao
ARTR3,Bens Industriais,Transporte e Logistica
ARZZ3,Consumo Cíclico,Varejo de Vestuario
ASAI3,Consumo Não Cíclico,Varejo Alimentar
AURE3,Utilidade Pública,Energia - Geracao e Distribuicao
AXIA3,Materiais Básicos,A DEFINIR
AXIA6,Materiais Básicos,A DEFINIR
AXIA7,Materiais Básicos,A DEFINIR
AZUL4,Bens Industriais,Transporte Aereo
AZZA3,Consumo Cíclico,Varejo de Vestuario
B3SA3,Financeiro,Servicos Financeiros
BBAS3,Financeiro,Bancos
BBDC3,Financeiro,Bancos
BBDC4,Financeiro,Bancos
BBSE3,Financeiro,Seguros e Previdencia
BBTG11,Financeiro,Bancos
BEEF3,Consumo Não Cíclico,Alimentos Processados
BHIA3,Consumo Cíclico,Varejo Eletro e Ecommerce
BIDI11,Financeiro,Bancos
BIDI4,Financeiro,Bancos
BKBR3,Consumo Cíclico,"Turismo, Lazer e Restaurantes"
BMGB11,Financeiro,Bancos
BMOB3,Tecnologia da Informação,Software e Servicos de TI
BPAC11,Financeiro,Bancos
BPAN4,Financeiro,Bancos
BPHA3,Saúde,Hospitais e Diagnostico
BRAP4,Materiais Básicos,Mineracao
BRAV3,Petróleo Gás e Biocombustíveis,Petroleo e Gas E&P
